admin_id,role_name,person_name,designation,email,phone,office_location,responsibilites,image_url
Murmu,Distinguished Visitor,Smt. Droupadi Murmu,The Hon'ble President of India,AttributeError,AttributeError,"Rashtrapati Bhavan, New Delhi, India","We are honored to announce that the Hon'ble President of India, Smt. Droupadi Murmu is the Visitor of our Institute.",https://iiitdwd.ac.in/images/droupadi_murmu.jpeg
Vembu,Chairperson,Dr. Sridhar Vembu,"Chairperson, IIIT Dharwad",chairperson@iiitdwd.ac.in,AttributeError,AttributeError,"Dr. Sridhar Vembu is the co-founder and Chief Scientist of Zoho Corporation, a globally respected technology leader and a pioneer in rural development through innovation. Raised in a humble village in Tamil Nadu, India, Dr. Vembu's academic journey led him to earn a degree in Electrical Engineering from IIT Madras and a Ph.D. from Princeton University.
In 1996, he co-founded AdventNet, which evolved into Zoho Corporation in 2009. Under his visionary leadership, Zoho grew into a global provider of cloud-based business software, empowering millions of users and businesses across the world. The company operates with a strong philosophy of self-reliance, long-term thinking, and customer-focused innovation. A defining aspect of Dr. Vembu's mission has been his unwavering commitment to social impact. He has championed the establishment of offices in rural areas, such as Tenkasi in Tamil Nadu, to decentralize opportunities and bring technological innovation closer to underserved regions. His initiative, Zoho Schools of Learning, offers free vocational education to high school graduates, especially from rural communities, providing them with hands-on training and job opportunities without the burden of a formal college degree.
Dr. Vembu's approach to business blends technological excellence with deep social responsibility. His work has earned him numerous accolades, including the Padma Shri in 2021 and CNN-News18 Indian of the Year in 2022. In 2025, he transitioned from the role of CEO to Chief Scientist, dedicating his focus to research, product innovation, and the long-term vision of Zoho. Respected for his humility, foresight, and belief in inclusive growth, Dr. Sridhar Vembu continues to inspire a generation of entrepreneurs to think beyond conventional boundaries and create impact-driven enterprises.
 ",https://iiitdwd.ac.in/images/Sridhar%20Vembu.webp
Vembu,Chairperson,Dr. Sridhar Vembu,"Chairperson, IIIT Dharwad",AttributeError,AttributeError,AttributeError,AttributeError,https://iiitdwd.ac.in/images/Sridhar Vembu.webp

Gupta,Members,Smt. Saumya Gupta,"Joint Secretary (TE), Ministry of Education, Government of India",AttributeError,AttributeError,AttributeError,AttributeError,https://iiitdwd.ac.in/images/saumya_gupta.jpg

I.A.S,Members,"Dr. Ekroop Caur, I.A.S",Secretary to Government Department of Electronics Information Technology Biotechnology and Science & Technology. Government of Karnataka,AttributeError,AttributeError,AttributeError,AttributeError,https://iiitdwd.ac.in/images/ekroop_caur.jpg

IAS,Members,"Shri Pavan Kumar Malapati, IAS","Department of Science & Technology & Managing Director, KSTePS Government of Karnataka",AttributeError,AttributeError,AttributeError,AttributeError,https://iiitdwd.ac.in/images/pavan_kumar_malapati.jpg

Desai,Members,Prof. Uday B. Desai,"Former Director, IIT Hyderabad",AttributeError,AttributeError,AttributeError,AttributeError,https://iiitdwd.ac.in/images/uday_b_desai.jpg

Sadagopan,Members,Prof. S. Sadagopan,"Former Director, IIIT Bengaluru",AttributeError,AttributeError,AttributeError,AttributeError,https://iiitdwd.ac.in/images/s_sadagopan.jpg

IAS,Members,"Shri M. N. Vidyashankar, IAS","President, IESA & Former Additional Chief Secretary to Government of Karnataka",AttributeError,AttributeError,AttributeError,AttributeError,https://iiitdwd.ac.in/images/m_n_vidyashankar.jpg

IAS,Members,"Shri S. V. Ranganath, IAS","Vice Chairman, Karnataka State Higher Education Council, Former Chief Secretary, Government of Karnataka",AttributeError,AttributeError,AttributeError,AttributeError,https://iiitdwd.ac.in/images/s_v_ranganath.jpg

Balaram,Members,Prof. P. Balaram,"Former Director, IISc Bengaluru",AttributeError,AttributeError,AttributeError,AttributeError,https://iiitdwd.ac.in/images/p_balaram.jpg

Chandra,Members,Prof. Pankaj Chandra,"Vice Chancellor, Ahmedabad University",AttributeError,AttributeError,AttributeError,AttributeError,https://iiitdwd.ac.in/images/pankaj_chandra.jpg

Khincha,Members,Prof. H. P. Khincha,"Former Vice Chancellor, VTU and Professor, IISc, Bengaluru",AttributeError,AttributeError,AttributeError,AttributeError,https://iiitdwd.ac.in/images/h_p_khincha.jpg

Desai,Members,Prof. Venkappayya R. Desai,"Director, IIT Dharwad",AttributeError,AttributeError,AttributeError,AttributeError,https://iiitdwd.ac.in/images/venkappayya_r_desai.jpeg

Prasanna,Members,Prof. S. R. Mahadeva Prasanna,"Director, IIIT Dharwad",AttributeError,AttributeError,AttributeError,AttributeError,https://iiitdwd.ac.in/images/s_r_mahadeva_prasanna.jpg

T.,Members,Dr. Deepak K. T.,"Associate Dean, R&D",AttributeError,AttributeError,AttributeError,AttributeError,https://iiitdwd.ac.in/images/Dr.DeepakKT.jpeg

